event_date,season,event_id_cnty,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
05/11/2013,rainy,KEN3891,05/11/2013,2013,Battles,Armed clash,Garre Ethnic Militia (Kenya),Garre Ethnic Militia (Ethiopia),4,Degodia Ethnic Militia (Kenya),Degodia Ethnic Militia (Ethiopia),Kenya,Mandera,Mandera North,Rhamu,Rhamu,3.9208,41.2192,Xinhua,Battles between Garre and Degodia militias,0
05/10/2013,rainy,KEN3889,05/10/2013,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Garissa,Dadaab,Labisgale,Ifo Refugee Camp,0.11,40.3135,Star (Kenya),Kenyan police reservist shot dead while patrolling market; perpetrators unknown,1
05/10/2013,rainy,KEN3888,05/10/2013,2013,Battles,Armed clash,Garre Ethnic Militia (Kenya),Garre Ethnic Militia (Ethiopia),4,Degodia Ethnic Militia (Kenya),Degodia Ethnic Militia (Ethiopia),Kenya,Mandera,Mandera North,Rhamu,Rhamu,3.9208,41.2192,Xinhua,Battles between Garre and Degodia militias,7
04/28/2013,rainy,KEN3868,04/28/2013,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Mombasa,Kisauni,Mjambere,Kisauni,-4.0333,39.6833,All Africa; Sabahi,Armed gang with possible links to MRC attacks police station and steals weapon,0
04/18/2013,rainy,KEN3857,04/18/2013,2013,Battles,Armed clash,Unidentified Armed Group (South Sudan),,3,Military Forces of Kenya (2002-2013),,Kenya,Turkana,Turkana Central,Lodwar Township,Lodwar,3.1191,35.5973,Star (Kenya),Unknown attackers from South Sudan shoot KDF soldier,0
04/10/2013,rainy,KEN3837,04/10/2013,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.283,36.817,Capital FM,Unidentified armed group shoots police officer attached to Israeli diplomat,1
04/02/2013,rainy,KEN3818,04/02/2013,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,Daily Nation (Kenya),Gunmen suspected to be affiliated with Al Shabaab attack and kill three police officers,3
03/28/2013,rainy,KEN3792,03/28/2013,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,MRC: Mombasa Republican Council,,Kenya,Kilifi,Malindi,Malindi Town,Malindi,-3.22,40.12,Capital FM,MRC attacks casino; police battle attackers. Seven MRC members and two police officers killed,9
03/20/2013,rainy,KEN3782,03/20/2013,2013,Battles,Armed clash,Maasai Ethnic Militia (Kenya),,4,Kikuyu Ethnic Militia (Kenya),,Kenya,Nakuru,Naivasha,Lake View,Naivasha,-0.7202,36.4285,Star (Kenya),Maasai and Kikuyu ethnic groups clash; two injured,0
03/18/2013,rainy,KEN3774,03/18/2013,2013,Battles,Armed clash,Al Shabaab,,2,Unidentified Armed Group (Kenya),,Kenya,Mombasa,Mvita,Tononoka,Majengo,-4.0486,39.6706,Star (Kenya),Unidentified group kills member of Al Shabaab in Majengo slums,1
03/18/2013,rainy,KEN3775,03/18/2013,2013,Battles,Armed clash,Abanyabasi Ethnic Militia (Kenya),,4,Abairege Ethnic Militia (Kenya),,Kenya,Migori,Kuria West,Tagare,Suba Kuria,-1.1667,34.45,Star (Kenya),Clashes between rival clans; two dead and cattle stolen,2
03/16/2013,rainy,KEN3772,03/16/2013,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Narok,Narok East,Mosiro,Ntulelei,-1.0959,36.0857,Star (Kenya),Unknown group ambushes police officers; one police and two civilians killed in the attack which targeted the offiers,3
03/15/2013,rainy,KEN3768,03/15/2013,2013,Battles,Armed clash,Abanyabasi Ethnic Militia (Kenya),,4,Abairege Ethnic Militia (Kenya),,Kenya,Migori,Kuria West,Tagare,Suba Kuria,-1.1667,34.45,Star (Kenya),Clashes between rival clans; cattle stolen. Sources did not specify which ethnic group played the role of the attacker,0
03/15/2013,rainy,KEN3765,03/15/2013,2013,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (2002-2013),,Kenya,Kiambu,Ruiru,Gatongora,Ruiru,-1.15,36.9667,All Africa; Sabahi,"Armed gang raids IEBC office, steals firearm from police officer and twenty biometric voter kits",0
03/12/2013,rainy,KEN3761,03/12/2013,2013,Battles,Armed clash,TNA: The National Alliance,,3,CORD: Coalition for Reforms and Democracy,,Kenya,Kisii,Bomachoge Borabu,Magenche,Mokubo,-0.9,34.7167,Star (Kenya),Man killed during political argument with supporter of CORD,1
03/10/2013,rainy,KEN3758,03/10/2013,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Nairobi,Embakasi West,Umoja I,Umoja Inner Core,-1.2827,36.8915,All Africa; Sabahi,Unknown group attacks police officer and steals his gun,0
03/04/2013,rainy,KEN3736,03/04/2013,2013,Battles,Armed clash,MRC: Mombasa Republican Council,,3,Police Forces of Kenya (2002-2013),,Kenya,Mombasa,Changamwe,Changamwe,Changamwe,-4.0166,39.6333,Star (Kenya),Armed members of MRC attack police officers; casualties on both sides,8
03/04/2013,rainy,KEN3737,03/04/2013,2013,Battles,Armed clash,MRC: Mombasa Republican Council,,3,Police Forces of Kenya (2002-2013),,Kenya,Kilifi,Kilifi South,Mwarakaya,Chonyi,-3.7806,39.6791,Star (Kenya),Police officers killed when responding to attack on police post and local bar,2
03/04/2013,rainy,KEN3732,03/04/2013,2013,Battles,Armed clash,MRC: Mombasa Republican Council,,3,Police Forces of Kenya (2002-2013),,Kenya,Mombasa,Mvita,Majengo,Mombasa,-4.0547,39.6636,Capital FM,Armed members of MRC attack police officers; casualties on both sides,7
03/01/2013,rainy,KEN3718,03/01/2013,2013,Battles,Armed clash,Degodia Ethnic Militia (Kenya),,4,Police Forces of Kenya (2002-2013),,Kenya,Mandera,Mandera North,Rhamu,Rhamu,3.9208,41.2192,Star (Kenya),Police repulse attack by Degodia ethnic militia; seven armed raiders were killed,4
02/22/2013,dry,KEN3705,02/22/2013,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Mombasa,Mvita,Tononoka,Majengo,-4.0486,39.6706,Star (Kenya),Police shoot Al Shabaab suspect dead in shoot-out,1
02/14/2013,dry,KEN3690,02/14/2013,2013,Battles,Armed clash,Abanyabasi Ethnic Militia (Kenya),,4,Abairege Ethnic Militia (Kenya),,Kenya,Migori,Kuria West,Tagare,Suba Kuria,-1.1667,34.45,Star (Kenya),Clashes between rival clan militias; both sides were reportedly armed,0
02/14/2013,dry,KEN3691,02/14/2013,2013,Battles,Armed clash,Abanyabasi Ethnic Militia (Kenya),,4,Abairege Ethnic Militia (Kenya),,Kenya,Homa Bay,Ndhiwa,Kabouch North,Magena,-0.6833,34.5167,Star (Kenya),Clan clash leaves one dead; both sides were reportedly armed,1
02/12/2013,dry,KEN3686,02/12/2013,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,Star (Kenya),Police reservist shot dead by suspected Al Shabaab militia member,0
02/07/2013,dry,KEN3958,02/07/2013,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Police Forces of Uganda (1986-),,Kenya,Migori,Nyatike,West Konyango,Migingo Island,-0.8827,33.9385,Star (Kenya),Three Kenyan police officers are beaten by a group of Ugandan police on a tiny island in Lake Victoria claimed by both countries.,0
02/04/2013,dry,KEN3665,02/04/2013,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,Star (Kenya),Police officer shot dead by unknown gunmen,1
02/04/2013,dry,KEN3664,02/04/2013,2013,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (2002-2013),,Kenya,West Pokot,West Pokot,Kapenguria,Kapenguria,1.2333,35.1167,Star (Kenya),Armed bandits clash with police; three police officers killed,3
02/03/2013,dry,KEN3658,02/03/2013,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Baringo,Baringo Central,Kabarnet,Kabarnet,0.4919,35.743,Star (Kenya),Police officers pursue bandits who had attacked a village; shoot out ensues and three police officers and one raider were killed,4
01/31/2013,dry,KEN3650,01/31/2013,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Garissa,Dadaab,Dadaab,Dadaab Refugee Camp,0.0514,40.3142,All Africa; Sabahi,Police shoot dead leader of armed group known for attacks against police and civilians within refugee camp,1
01/30/2013,dry,KEN3645,01/30/2013,2013,Battles,Armed clash,Unidentified Armed Group (Ethiopia),,3,Unidentified Armed Group (Kenya),,Kenya,Turkana,Turkana Central,Lodwar Township,Lodwar,3.1191,35.5973,Star (Kenya),Suspected bandits from Ethiopia attack village in Kenya; Kenyan villagers take up arms and kill seven attackers,7
01/11/2013,dry,KEN3587,01/11/2013,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Garissa,Dadaab,Dadaab,Dadaab Refugee Camp,0.0514,40.3142,Star (Kenya),Police shoot suspected gunman; no further details available,1
01/08/2013,dry,KEN3564,01/08/2013,2013,Battles,Armed clash,Pokot Ethnic Militia (Kenya),,4,Tugen Ethnic Militia (Kenya),,Kenya,Baringo,Marigat,Marigat,Marigat,0.4667,35.9833,Star (Kenya),Ethnic-based clashes between Pokot and Tugen in Arabal area; ten killed,10
01/07/2013,dry,KEN3558,01/07/2013,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,Xinhua,"Police attacked by Al Shabaab fighters; several police injured in the battle, one civilian killed, considered collateral damage",0
12/27/2012,rainy,KEN3536,12/27/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,Star (Kenya),Police officer dies when suspected Al Shabaab members shoots him during routine patrol,1
12/26/2012,rainy,KEN3535,12/26/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Migori,Kuria West,Tagare,Suba Kuria,-1.1667,34.45,Star (Kenya),Unknown gunmen shoot police officers,1
12/10/2012,rainy,KEN3498,12/10/2012,2012,Battles,Armed clash,Nyuki Movement,MRC: Mombasa Republican Council,3,Police Forces of Kenya (2002-2013),,Kenya,Kilifi,Rabai,Kambe,Mbungoni,-3.85,39.6333,Kenya Standard,Police battle separatists who were planning to attack police base in Kisauni. Three of the suspects were killed in the battle,3
12/09/2012,rainy,KEN3496,12/09/2012,2012,Battles,Armed clash,Al Shabaab,,2,Military Forces of Kenya (2002-2013),,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,Kenya Standard,Armed group linked to Al Shabaab attacks military and kills one,1
11/29/2012,rainy,KEN3488,11/29/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Samburu Ethnic Militia (Kenya),,Kenya,Isiolo,Merti,Chari,Kom,1.0833,38.0333,Star (Kenya),Police respond to attack on village; engage raiders in gunfight,0
11/19/2012,rainy,KEN3476,11/19/2012,2012,Battles,Armed clash,Al Shabaab,,2,Military Forces of Kenya (2002-2013),,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,HRW,Al Shabaab members kill three Kenyan soldiers,3
11/16/2012,rainy,KEN3468,11/16/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,IHS Global Insight,Shooting by suspected Al Shabaab sympathisers leaves two police officers dead,2
11/15/2012,rainy,KEN3464,11/15/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Turkana Ethnic Militia (Kenya),,Kenya,Turkana,Turkana East,Katilia,Suguta Valley,2.1667,36.5167,Daily Nation (Kenya),Turkana raiders attack police; no information about casualties,0
11/10/2012,rainy,KEN3456,11/10/2012,2012,Battles,Armed clash,Turkana Ethnic Militia (Kenya),,4,Police Forces of Kenya (2002-2013),,Kenya,Turkana,Turkana East,Katilia,Suguta Valley,2.1667,36.5167,Daily Nation (Kenya),Turkana raiders ambush police officers and kill 42 during cattle raid,42
11/06/2012,rainy,KEN3454,11/06/2012,2012,Battles,Armed clash,Degodia Ethnic Militia (Kenya),,4,Garre Ethnic Militia (Kenya),,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,Kenya Standard,Degodia and Garre clans battle in and around Mandera,2
11/05/2012,rainy,KEN3450,11/05/2012,2012,Battles,Armed clash,Degodia Ethnic Militia (Kenya),,4,Garre Ethnic Militia (Kenya),,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,Kenya Standard,Degodia and Garre clans battle in and around Mandera,2
11/05/2012,rainy,KEN3451,11/05/2012,2012,Battles,Armed clash,Turkana Ethnic Militia (Kenya),,4,Samburu Ethnic Militia (Kenya),Moran Ethnic Militia (Kenya),Kenya,Samburu,Samburu Central,Maralal,Maralal,1.0968,36.698,Star (Kenya),Samburu Moran raiders attack Turkana ethnic group; twelve Samburu raiders were killed in the fighting,12
11/02/2012,rainy,KEN3446,11/02/2012,2012,Battles,Armed clash,Al Shabaab,,2,Military Forces of Kenya (2002-2013),,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,Shabelle Media Network,Suspected Al Shabaab attackers kill soldier,1
10/30/2012,rainy,KEN3439,10/30/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,Xinhua,Unknown gunmen shoot police officers,1
10/28/2012,rainy,KEN3435,10/28/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Muslim Militia (Kenya),,Kenya,Mombasa,Mvita,Tononoka,Majengo,-4.0486,39.6706,Daily Nation (Kenya),Police shoot to Muslim members of a terror group during a raid on their residence,2
10/26/2012,rainy,KEN3432,10/26/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Garissa,Fafi,Jarajila,Hagadera Refugee Camp,0.0037,40.3746,Kenya Standard,Unidentified armed man shoots Kenyan police officer inside mosque,1
10/20/2012,rainy,KEN3424,10/20/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,MRC: Mombasa Republican Council,,Kenya,Kilifi,Kaloleni,Kaloleni,Kaloleni,-3.8167,39.6269,Daily Nation (Kenya),Youths attack local police post and steal weapons; the attackers were suspected members of MRC,0
10/19/2012,rainy,KEN3422,10/19/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,HRW,Armed group believed to be Al Shabaab attacks Kenyan police forces,0
10/17/2012,rainy,KEN3421,10/17/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Mombasa,Likoni,Timbwani,Likoni,-4.0839,39.6616,Daily Nation (Kenya),Police battle Al Shabaab members during raid; one officer and three Al Shabaab suspects killed during clash,4
10/15/2012,rainy,KEN3414,10/15/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,MRC: Mombasa Republican Council,,Kenya,Kwale,Matuga,Waa Ngombeni,Kombani,-4.1999,39.5811,Kenya Standard,MRC members arrested at their home after being found in possession of explosives and ammunition; two MRC bodygaurds killed in the clash,2
10/02/2012,rainy,KEN3390,10/02/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,Kenya Standard,Al Shabaab attacks police post,2
09/30/2012,dry,KEN3386,09/30/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,Xinhua,Suspected al Shabaab militants kill two police officers,2
09/24/2012,dry,KEN3376,09/24/2012,2012,Battles,Armed clash,Maasai Ethnic Militia (Kenya),,4,Unidentified Ethnic Militia (Kenya),,Kenya,Nairobi,Embakasi Central,Kayole South,Kayole,-1.2775,36.9129,Daily Nation (Kenya),Masaai clash with street youth after politician made comments stating the Masaai should be forced to leave the area,2
09/14/2012,dry,KEN3366,09/14/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,MRC: Mombasa Republican Council,,Kenya,Kwale,Kinango,Mwavumbo,Dzombo Forest,-3.9167,39.4333,Kenya Standard,Suspected members of MRC attack policeman and kill him in Dzombo Forest.,1
09/10/2012,dry,KEN3358,09/10/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Pokomo Ethnic Militia (Kenya),,Kenya,Tana River,Garsen,Kipini East,Kilelengwani,-2.4779,40.4662,Daily Nation (Kenya),"Pokomo ethnic militia attacks police, steals weapons and kills officers",9
09/07/2012,dry,KEN3354,09/07/2012,2012,Battles,Armed clash,Orma Ethnic Militia (Kenya),,4,Police Forces of Kenya (2002-2013),,Kenya,Tana River,Garsen,Kipini West,Chamwanamuma,-2.5097,40.2977,HRW,Orma militia battles police after attacking Pokomo village,0
08/28/2012,dry,KEN3338,08/28/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Muslim Militia (Kenya),,Kenya,Mombasa,Nyali,Frere Town,Mwandoni,-4.02,39.6947,Daily Nation (Kenya),Man kills security officers after Muslim cleric killed by unknown group,3
08/25/2012,dry,KEN3331,08/25/2012,2012,Battles,Armed clash,Degodia Ethnic Militia (Kenya),,4,Garre Ethnic Militia (Kenya),,Kenya,Wajir,Wajir East,Township,Wajir,1.75,40.06,NTV (Kenya),Degodia and Garre clans battle in Wajir town,0
08/20/2012,dry,KEN3323,08/20/2012,2012,Battles,Armed clash,Maasai Ethnic Militia (Kenya),,4,Sonjo Ethnic Militia (Kenya),,Kenya,Siaya,Ugunja,Ugunja,Naam,0.2167,34.3,Arusha Times,Clashes between Masaai and Sonjo ethnic groups over grazing rights,0
08/15/2012,dry,KEN3316,08/15/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),Military Forces of Kenya (2002-2013),1,Al Shabaab,,Kenya,Lamu,Lamu West,Mkomami,Lamu,-2.2717,40.902,Star (Kenya),Police and military battle Al Shabaab militants; three militants killed,3
07/27/2012,dry,KEN3304,07/27/2012,2012,Battles,Armed clash,Degodia Ethnic Militia (Kenya),,4,Garre Ethnic Militia (Kenya),,Kenya,Mandera,Banissa,Banissa,Banissa,3.9439,40.3445,Daily Nation (Kenya),"Ethnic clashes between Degodia and Garre clans in Mandera region. Exact dates not specified, only a range was available",3
07/20/2012,dry,KEN3295,07/20/2012,2012,Battles,Armed clash,Degodia Ethnic Militia (Kenya),,4,Garre Ethnic Militia (Kenya),,Kenya,Mandera,Banissa,Banissa,Banissa,3.9439,40.3445,Daily Nation (Kenya),"Ethnic clashes between Degodia and Garre clans in Mandera region. Exact dates not specified, only a range was available",3
07/16/2012,dry,KEN3291,07/16/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Garissa,Dadaab,Liboi,Liboi,0.3534,40.8723,Reuters,Al Shabaab attacks police officers; kills one,1
07/13/2012,dry,KEN3289,07/13/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Mandera,Lafey,Fino,Fino,3.3711,41.4468,Capital FM,Al Shabaab attacks police officers,1
06/29/2012,dry,KEN3272,06/29/2012,2012,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2002-2013),,Kenya,Mandera,Lafey,Fino,Fino,3.3711,41.4468,Xinhua,Suspected Al Shabaab militants attack Kenyan police post near Somali border,0
06/29/2012,dry,KEN3271,06/29/2012,2012,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2002-2013),,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,Xinhua,"Suspected Al Shabaab militia attacked a Kenyan police post, about 80 km from northern town of Mandera along the common border on Friday. About 35 gunmen attack Arabia Administration Police Post at around 22:00, sparking an exchange of fire.",0
06/06/2012,dry,KEN3227,06/06/2012,2012,Battles,Armed clash,Unidentified Ethnic Militia (Kenya),,4,Unidentified Ethnic Militia (Kenya),,Kenya,Bungoma,Sirisia,Lwandanyi,Lwakhakha,0.7911,34.3794,Star (Kenya),"Eight houses were yesterday burnt at Kaburuet village in lwakhakha division, Bungoma county, in clashes between members of two communities.",0
06/05/2012,dry,KEN3226,06/05/2012,2012,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Unidentified Armed Group (Kenya),,Kenya,Siaya,Ugunja,Ugunja,Bar Osimbo,0.1667,34.2667,Star (Kenya),Two people have been killed and property destroyed at Bar Osimbo village in Siaya in the last week following a land dispute between a family and an assistant chief. The dispute between the family of Bruno Oloo and the area assistant chief Raphael Oduor has led to the destruction of 15 acres of crops and six houses have also been torched,2
05/29/2012,rainy,KEN3218,05/29/2012,2012,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (2002-2013),,Kenya,Garissa,Dadaab,Liboi,Liboi,0.3534,40.8723,All Africa,"Four police officers were seriously injured following an attack by armed bandits in Liboi, northern Kenya.",0
05/23/2012,rainy,KEN3213,05/23/2012,2012,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Unidentified Armed Group (Kenya),,Kenya,Narok,Transmara West,Kimintet,Mara North Conservancy,-1.4167,34.9167,Star (Kenya),Three people were injured when the two groups clashed over grazing land at Mara North Conservancy in Maasai Mara game reserve in Narok South District. The disagreement occurred when one of the groups tried to forceful evict the rival group from the land which met resistance.,0
04/16/2012,rainy,KEN3188,04/16/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Merrile Ethnic Militia (Ethiopia),,Kenya,Turkana,Turkana North,Lakezone,Todenyang,4.5333,35.9333,All Africa,Ethiopian ethnic militia guns down two Kenyan police officers,2
03/24/2012,rainy,KEN3172,03/24/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,MRC: Mombasa Republican Council,,Kenya,Kilifi,Malindi,Malindi Town,Malindi,-3.22,40.12,All Africa,Youths with Mombasa Republican Council attack police during Malindis mock elections,0
03/24/2012,rainy,KEN3174,03/24/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Pokot Ethnic Militia (Kenya),,Kenya,Turkana,Loima,Turkwel,Kapelbok,3.0021,35.5322,All Africa,Pokot raiders shoot police reservist,1
03/23/2012,rainy,KEN3170,03/23/2012,2012,Battles,Armed clash,Al Shabaab,,2,Unidentified Communal Militia (Kenya),,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,Xinhua,Angry residents take up arms to battle raiding Al-Shabab fighters,3
02/29/2012,dry,KEN3157,02/29/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,MRC: Mombasa Republican Council,,Kenya,Kilifi,Kaloleni,Kaloleni,Kaloleni,-3.8167,39.6269,All Africa,MRC attacks police officers at their camp,0
02/28/2012,dry,KEN3156,02/28/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,All Africa,Al-Shabab attacks police reservist,2
02/27/2012,dry,KEN3152,02/27/2012,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),,4,Kalenjin Ethnic Militia (Kenya),,Kenya,Kisumu,Muhoroni,Muhoroni Koru,Muhoroni,-0.15,35.2,All Africa,Clashes between rival ethnic groups over cattle and land,0
02/27/2012,dry,KEN3153,02/27/2012,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),,4,Kalenjin Ethnic Militia (Kenya),,Kenya,Nandi,Tinderet,Tinderet,Tinderet,-0.0667,35.35,All Africa,Clashes between rival ethnic groups over cattle and land,0
02/27/2012,dry,KEN3151,02/27/2012,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),,4,Kalenjin Ethnic Militia (Kenya),,Kenya,Siaya,Alego Usonga,Usonga,Magombe Central,0.0833,34.0667,All Africa,Clashes between rival ethnic groups over cattle and land,5
02/26/2012,dry,KEN3149,02/26/2012,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),,4,Kalenjin Ethnic Militia (Kenya),,Kenya,Kisumu,Muhoroni,Muhoroni Koru,Muhoroni,-0.15,35.2,All Africa,Clashes between rival ethnic groups over cattle and land,0
02/26/2012,dry,KEN3150,02/26/2012,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),,4,Kalenjin Ethnic Militia (Kenya),,Kenya,Nandi,Tinderet,Tinderet,Tinderet,-0.0667,35.35,All Africa,Clashes between rival ethnic groups over cattle and land,0
02/26/2012,dry,KEN3148,02/26/2012,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),,4,Kalenjin Ethnic Militia (Kenya),,Kenya,Siaya,Alego Usonga,Usonga,Magombe Central,0.0833,34.0667,All Africa,Clashes between rival ethnic groups over cattle and land,0
02/25/2012,dry,KEN3144,02/25/2012,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),,4,Kalenjin Ethnic Militia (Kenya),,Kenya,Kisumu,Muhoroni,Muhoroni Koru,Muhoroni,-0.15,35.2,All Africa,Clashes between rival ethnic groups over cattle and land,0
02/25/2012,dry,KEN3145,02/25/2012,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),,4,Kalenjin Ethnic Militia (Kenya),,Kenya,Nandi,Tinderet,Tinderet,Tinderet,-0.0667,35.35,All Africa,Clashes between rival ethnic groups over cattle and land,0
02/25/2012,dry,KEN3143,02/25/2012,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),,4,Kalenjin Ethnic Militia (Kenya),,Kenya,Siaya,Alego Usonga,Usonga,Magombe Central,0.0833,34.0667,All Africa,Clashes between rival ethnic groups over cattle and land,0
02/24/2012,dry,KEN3141,02/24/2012,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),,4,Kalenjin Ethnic Militia (Kenya),,Kenya,Kisumu,Muhoroni,Muhoroni Koru,Muhoroni,-0.15,35.2,All Africa,Clashes between rival ethnic groups over cattle and land,0
02/24/2012,dry,KEN3142,02/24/2012,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),,4,Kalenjin Ethnic Militia (Kenya),,Kenya,Nandi,Tinderet,Tinderet,Tinderet,-0.0667,35.35,All Africa,Clashes between rival ethnic groups over cattle and land,0
02/24/2012,dry,KEN3140,02/24/2012,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),,4,Kalenjin Ethnic Militia (Kenya),,Kenya,Siaya,Alego Usonga,Usonga,Magombe Central,0.0833,34.0667,All Africa,Clashes between rival ethnic groups over cattle and land,0
02/17/2012,dry,KEN3133,02/17/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Garissa,Fafi,Fafi,Fafi,-0.4209,40.2201,AFP,Al-Shabab attacks Kenyan police outpost,1
02/14/2012,dry,KEN3128,02/14/2012,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Pokot Ethnic Militia (Kenya),,Kenya,Baringo,Tiaty,Tirioko,Kapedo,1.1692,36.0955,All Africa,Police reservist killed when raiders attack,1
