event_id_cnty,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
KEN4347,16-Apr-14,2014,Battles,Armed clash,Military Forces of Kenya (2013-),,1,Unidentified Armed Group (Kenya),,Kenya,Wajir,Wajir East,Township,Wajir,1.75,40.06,Sabahi,"An unknown number of assailants attacked a security checkpoint in Wajir in the early hours of the day, hurling grenades and firing their weapons, with no casualties reported. The attackers also stone a number of weapons from the post.",0
KEN4329,28-Mar-14,2014,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Mombasa,Mvita,Majengo,Mombasa,-4.0547,39.6636,Xinhua,Police forces shot and kill two al Shabaab suspects believed to be in connection with an attack on a church on 23/03.,2
KEN6908,27-Mar-14,2014,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Private Security Forces (Kenya),Aid Workers (Kenya),Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.283,36.817,Aid Worker Security Database,'One UN staff member was shot in the leg by five armed robbers who broke into his personal residence and stole valuables; he was hospitalized and is in stable condition. The robbers also killed one security guard.',1
KEN4321,23-Mar-14,2014,Battles,Armed clash,Auliyan Ethnic Militia (Kenya),,4,Abduwak Ethnic Militia (Kenya),,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,Star (Kenya),"Warring between the Auliyan and Abdiwak clans causes the destruction of homes and the displacement of many in Qabobey, Garissa county. No causalities reported.",0
KEN4312,14-Mar-14,2014,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Unidentified Armed Group (Kenya),,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,Local Source,"An unknown number of armed men carried out an armed attack against the Central AP camp in Mandera in the night of 13-14/03. Employing multiple vectors, they first lobbed two hand grenades into the camp and subsequently fired against the police for a few minutes before departing the scene. One Police reservist was killed and another wounded in the aftermath of the attack. The KPRs were reportedly having a small break after long hours of patrolling around that area. The perpetrators reportedly crossed over to the Somali side of the border after the attack.",1
KEN4306,9-Mar-14,2014,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Unidentified Armed Group (Kenya),,Kenya,Baringo,Marigat,Mochongoi,Marmanet,0.1667,36.3167,Star (Kenya),"Five persons has been killed and several houses burned in a row pitying residents over a controversial piece of land at Urumwe Mukaro settlement scheme in Marmanet, Nyahururu. Several other people sustained injuries after residents clashed over the course of three days. It is not clear if the combatants were divided along ethnic lines.",0
KEN4305,8-Mar-14,2014,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Unidentified Armed Group (Kenya),,Kenya,Baringo,Marigat,Mochongoi,Marmanet,0.1667,36.3167,Star (Kenya),"Five persons has been killed and several houses burned in a row pitying residents over a controversial piece of land at Urumwe Mukaro settlement scheme in Marmanet, Nyahururu. Several other people sustained injuries after residents clashed over the course of three days. It is not clear if the combatants were divided along ethnic lines.",3
KEN4303,7-Mar-14,2014,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Unidentified Armed Group (Kenya),,Kenya,Baringo,Marigat,Mochongoi,Marmanet,0.1667,36.3167,Star (Kenya),"Five persons has been killed and several houses burned in a row pitying residents over a controversial piece of land at Urumwe Mukaro settlement scheme in Marmanet, Nyahururu. Several other people sustained injuries after residents clashed over the course of three days. It is not clear if the combatants were divided along ethnic lines. Of the dead, two were killed on 07/03 and three on 08/03.",2
KEN4302,7-Mar-14,2014,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Garissa,Dadaab,Dadaab,Dadaab Refugee Camp,0.0514,40.3142,Xinhua,Two al Shabaab members are killed by police during a raid in the Dadaab refugee complex.,2
KEN4295,3-Mar-14,2014,Battles,Armed clash,Mau Mau War Veterans,,3,Unidentified Armed Group (Kenya),Pastoralists (Kenya),Kenya,Nakuru,Naivasha,Lake View,Naivasha,-0.7202,36.4285,Star (Kenya),A group of farmers clashed with pastoralists over grazing land around Lake Naivasha. The farmers who claim to be members of the Mau Mau group accused the herders of driving their animals into the farms. Causalities not known or reported.,0
KEN4291,27-Feb-14,2014,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Unidentified Armed Group (Kenya),,Kenya,Lamu,Lamu West,Mkomami,Lamu,-2.2717,40.902,Star (Kenya),"Six people were injured during a confrontation between farmers and pastoralists at Mtondoni area in Hongwe ward, Lamu West district. The conflict ensued when pastoralists were accused of driving their animals into the farms and destroying crops. The identities of the two groups is not known.",0
KEN4268,10-Feb-14,2014,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Kwale,Msambweni,Ukunda,Ukunda,-4.2875,39.5661,Radio Dalsan,A Kenya police officer was shot and wounded by suspected al-Shabaab adherent in coastal town of Ukunda in Kwale district. Security officials in Kenyas coastal city of Mombasa said police officer was shot at close range by a gunmen riding in a motorbike before escaping with his gun.,0
KEN4261,2-Feb-14,2014,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Al Shabaab,Unidentified Armed Group (Kenya),Kenya,Mombasa,Mvita,Majengo,Mombasa,-4.0547,39.6636,Star (Kenya),"A police officer and two youths are killed in a confrontation at the Masjid Musa Mosque in Mombasa. Police had stormed the mosque to arrest youths who were suspected to have been holding an al Shabaab recruitment meeting. At time of the raid the mosque was donned with al-Shabaab flags. Following the raid a three hour battle ensued, wile the youths, holed up in the Mosque mounted a resistance. Police fired teargas canisters to smoke them out of the mosque and in the process a police officer was killed. Two youths were also shot dead by police and several other people injured. 129 arrests reported, a court later charged all with being members of al Shabaab. Twenty-one were released in the following week.",3
KEN4258,30-Jan-14,2014,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),Burji Ethnic Militia (Kenya),Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Xinhua,"Nine are feared dead in Moyale as fights between Borana and Gabra-Burji militia. On the morning of 30/01 suspected Gabra-Burji militias attacked Kate village, some 50 kilometres from Moyale town. The Borana group responded with heavy resistance. After about half an hour of intense exchange, the fights moved from the village into the bush. As at 11am fierce exchange was heard towards Funan-nyata about 15 kilometres from Kate.",9
KEN4249,23-Jan-14,2014,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Merrile Ethnic Militia (Ethiopia),Turkana Ethnic Group (Kenya),Kenya,Turkana,Turkana Central,Lodwar Township,Lodwar,3.1191,35.5973,Daily Nation (Kenya),"Ethiopian Merrile militia attack a group of fishermen in the north-west Turkana border district, on Lake Turkana, killing one and injuring several others. The motive for the attack is not clear, though several similar raid had been persistent in the area. Responding to the fishermens distress calls, Kenyan police battled the Merrile, pushing them back into Ethiopia. No causality figures provided from the police battle.",0
KEN4233,13-Jan-14,2014,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Unidentified Armed Group (Ethiopia),,Kenya,Marsabit,North Horr,North Horr,North Horr,3.3167,37.0667,Daily Nation (Kenya),"Unidentified militia, believed to be from nearby Ethiopia attack the ethnic Gabra border town of North Horr, killing two police and injuring 'scores' of civilians. It was reported cattle was stolen in the raid.",2
KEN4226,8-Jan-14,2014,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),,Kenya,Marsabit,North Horr,Dukana,Dukana,3.9902,37.2659,Xinhua,One is killed and two are others injured in a ethnic clash over the course of two days.,0
KEN4224,7-Jan-14,2014,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),,Kenya,Marsabit,North Horr,Dukana,Dukana,3.9902,37.2659,Xinhua,One is killed and two are others injured in a ethnic clash over the course of two days.,1
KEN4219,5-Jan-14,2014,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Unidentified Armed Group (Kenya),,Kenya,Kwale,Msambweni,Gombato Bongwe,Diani,-4.279,39.594,Star (Kenya),A hand grenade is thrown at a police officer in the Diani area. The ordinance did not explode. The perpetrators escaped.,0
KEN4217,4-Jan-14,2014,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),,Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Kenya Broadcasting Corporation,"Four people were killed at Odha area, 15 kilometres from Moyale [northeastern Kenya] town following fresh tribal skirmishes in Moyale District between the Boranas and Gabbras. The clash was believed to have been sparked by the use of a water hole. The clash took place during the evening hours. In an effort to maintain order, military reservists were sent to the area in the following days.",4
KEN4210,30-Dec-13,2013,Battles,Armed clash,Police Forces of Kenya (2013-),Turkana Ethnic Group (Kenya),1,Unidentified Armed Group (Kenya),,Kenya,Turkana,Turkana Central,Kang'atotha,Turkwel,3.1048,36.0975,Star (Kenya),"A Kenya police reservist was shot dead by unidentified armed raiders in a fresh attack at Turkwel on Pokot-Turkana border. The police officer of the Turkana ethnic group, though it was not clear if ethnicity was the motive for the attack.",1
KEN4190,10-Dec-13,2013,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Garissa,Dadaab,Liboi,Liboi,0.3534,40.8723,AFP,"Al Shabaab launches an attack on a border town, killing three civilians and five police. Liboi hosts an AMISOM military, often used to supply forces in Somalia.",8
KEN4189,8-Dec-13,2013,Battles,Armed clash,Military Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,West Pokot,West Pokot,Kapenguria,Kapenguria,1.2333,35.1167,Star (Kenya),Two General Service Unit officers (paramilitary wing of the Kenyan Military) were injured when a vehicle they were travelling in was attacked in West Pokot county. The attackers may have been thieves.,0
KEN4188,7-Dec-13,2013,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Burji Ethnic Militia (Kenya),Gabra Ethnic Militia (Kenya),Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Star (Kenya),Ethnic clashes continue near Moyale on 07/12. 'Dozens' reported dead.,24
KEN4187,6-Dec-13,2013,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Burji Ethnic Militia (Kenya),Gabra Ethnic Militia (Kenya),Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Kenya Standard,Seventeen are killed in ongoing ethnic clashes over a 36 hour period Butiye village in Moyale town.,8
KEN4182,5-Dec-13,2013,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Burji Ethnic Militia (Kenya),Gabra Ethnic Militia (Kenya),Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Kenya Standard,Seventeen are killed in ongoing ethnic clashes over a 36 hour period Butiye village in Moyale town.,9
KEN4178,4-Dec-13,2013,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Burji Ethnic Militia (Kenya),Gabra Ethnic Militia (Kenya),Kenya,Marsabit,Moyale,Heillu,Oda,3.4933,39.0957,AFP,"At least 12 people were killed with many others injured in Marsabit county of northern Kenya following clashes between rival militia groups, Borana and Burji, Gabra. The clash caused 30,000 nearby Moyale residents, fearing for their safety, to flee north into Ethiopia. Clashes were sporadic throughout the week, though no specific date is provided. Some sources have causality totals at 70 or more.",12
KEN4157,24-Nov-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Pokot Ethnic Militia (Kenya),,Kenya,Turkana,Turkana Central,Lodwar Township,Lodwar,3.1191,35.5973,AFP,Police forces launch an operation to retake police posts occupied by Pokot militia. The Pokot militiamen responded with 'heavy resistance.' It is not clear if the operation was successful. Causalities not known.,0
KEN4155,23-Nov-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Pokot Ethnic Militia (Kenya),,Kenya,Turkana,Turkana Central,Lodwar Township,Lodwar,3.1191,35.5973,AFP,Armed Pokot militiamen attack and hold hostage three police posts in Lorokon village. It is not clear how many police officers are effected by the attack. Causalities not known. The siege is likely related to a border dispute between the Pokots and Turkana communities that has been causing tension in the area.,0
KEN4138,11-Nov-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.283,36.817,Kenya Standard,An unidentified gunmen is killed and a police officer is wounded after the gunmen launched an attack in the Lexington area of Nairobi. The motive for the attack is not known.,1
KEN4137,10-Nov-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,MRC: Mombasa Republican Council,,Kenya,Kilifi,Ganze,Ganze,Ganze,-3.543,39.6927,Star (Kenya),A clash between Ganze police and MRC youths leads to a gunshot wound of a bystander civilian.,0
KEN4134,7-Nov-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Mombasa,Mvita,Majengo,Mombasa,-4.0547,39.6636,Star (Kenya),"A police officer is shot twice, in the head and back, by two unknown gunmen on a motorcycle at around 8.30pm at Afisi ya Kanu stage in Mwandoni Ndogo.",1
KEN4128,3-Nov-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Kisumu,Muhoroni,Muhoroni Koru,Muhoroni,-0.15,35.2,Star (Kenya),"Three people were shot dead after youths armed with arrows attacked Ruga police post in Muhoroni Sub County. The three are reported to have been shot dead in an arrow and fire exchange at Nyangore sub-location in Chemelil. The youths are suspected to have come from Nandi community. The youths had vowed to kill a senior police officer, accusing police of contributing to the rampant chaos along the nearby border area.",3
KEN4113,25-Oct-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,MRC: Mombasa Republican Council,,Kenya,Kilifi,Kilifi North,Sokoni,Kilifi,-3.633,39.85,Kenya Standard,"Political separatists of the Mombasa Republican Council (MRC) attack a police post in Palakumi, Kilifi, injuring one officer. According to Kilifi County AP Commandant Elijah Ngetich, 10 suspected MRC militants, armed with arrows and bows, carried out the midnight raid at Palakumi in Ganze. The motive has not been established although some claim they were out to steal weapons.",0
KEN4101,17-Oct-13,2013,Battles,Armed clash,Unidentified Ethnic Militia (Kenya),,4,Unidentified Ethnic Militia (Kenya),,Kenya,Samburu,Samburu North,El Barta,Baragoi,1.7833,36.7833,Star (Kenya),"Four people have died following inter-Tribal conflict in Waso Rongai Village, Baragoi. The groups involved were not identified.",4
KEN4094,14-Oct-13,2013,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),,Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Sabahi,Renewed ethnic clashes in Moyale Monday (October 14th) injured at least five people and led to parts of the city being shut down.,0
KEN4092,11-Oct-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Kajiado,Kajiado Central,Matapato North,Emotoroki Borehole Number Two,-2.3,37.0333,Local Source,A group of police who were returning from patrol opened fire on a group of men planting an IED along the side of the road the night of 11/10. The police failed to hit or capture any of the men.,0
KEN4080,1-Oct-13,2013,Battles,Armed clash,Nandi Ethnic Militia (Kenya),,4,Police Forces of Kenya (2002-2013),Government of Kenya (2002-2013),Kenya,Kisumu,Muhoroni,Muhoroni Koru,Muhoroni,-0.15,35.2,Star (Kenya),A crowd of squatters believed to be composed of Nandi youths invaded a farm belonging to a former judge and attacked an AP officer who was guarding the premise. The motive for the attack is believed to be concerning the control of land.,0
KEN4078,30-Sep-13,2013,Battles,Armed clash,Military Forces of Kenya (2002-2013),,1,Pokot Ethnic Militia (Uganda),,Kenya,West Pokot,West Pokot,Kapenguria,Kapenguria,1.2333,35.1167,Daily Nation (Kenya),The more than 200 cross-border Ugandan-Pokot raiders attacked Apuko village in Pokot North and drove away the animals after a fierce morning battle with Pokot herdsmen and security officers. Causalities not known.,0
KEN4077,30-Sep-13,2013,Battles,Armed clash,Pokot Ethnic Militia (Uganda),Pastoralists (Kenya),4,Pokot Ethnic Militia (Kenya),Police Forces of Kenya (2002-2013),Kenya,West Pokot,West Pokot,Kapenguria,Kapenguria,1.2333,35.1167,Daily Nation (Kenya),The more than 200 cross-border Ugandan-Pokot raiders attacked Apuko village in Pokot North and drove away the animals after a fierce morning battle with Pokot herdsmen and security officers. Causalities not known.,0
KEN4076,27-Sep-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,Local Source,"Police sentries in the main Mandera Police Line reportedly opened fire in the night of 27/09. The reason behind the shooting is unclear. Reports indicate that although police claim to have been fired upon, there is no evidence that an attack took place.",0
KEN4075,26-Sep-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,Local Source,"Al Shabaab fighters, reportedly ten in number, attacked the Central Administration Police camp in Mandera in the night of 26/09. The attackers exchanged small arms, hand grenades and RPGs for about 30 minutes after which they withdrew. Three vehicles parked in the compound got burnt in the fighting. Initial casualty reports indicate that two police officers were killed and one seriously wounded. One perpetrator was wounded in the attack. A conflicting report by the Nairobi Star holds three police deaths.",2
KEN4073,25-Sep-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Wajir,Wajir East,Township,Wajir,1.75,40.06,Local Source,Al Shabaab attackers hurled a hand grenade at a group of police officers patrolling the Army/Airport road near Basabra Supermarket in Wajir on the evening of 25/09. The police opened fire after the blast. A second explosion was heard shortly after the first. The cause of the second explosion is currently unclear. One person was killed and three others were injured. Police arrested an injured man they believed to be one the perpetrators.,1
KEN4072,24-Sep-13,2013,Battles,Armed clash,Military Forces of Kenya (2002-2013),Police Forces of Kenya (2002-2013),1,Al Shabaab,,Kenya,Nairobi,Westlands,Parklands,Westgate,-1.2571,36.8033,AP,"Early on the fourth day, a senior police source declared the operation to clear the building was 'over', however journalists outside reported that sporadic gunfire was continuing. The confirmed death toll is 61 civilians, six security officers and five militants (72 total), plus 175 injuries. It is thought that the death toll could rise, as bodies could possibly concealed under the rubble. Authorities have said they have found 'some' of the missing. 61 are still considered missing. Security forces are holding eight suspected al Shabaab militants in connection to the attack. The al Shabaab leader, Sheikh Ahmed Aw Abdi Godane 'Abu Zubeir,' issued an audio message 25/09 on the Westgate attack in Nairobi. In his message the al Shabaab leader praised the perpetrators and explained that the attack was to punish Kenya for invading Somalia and killing vulnerable Muslims in Somalia.",0
KEN4069,23-Sep-13,2013,Battles,Armed clash,Military Forces of Kenya (2002-2013),Police Forces of Kenya (2002-2013),1,Al Shabaab,,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.283,36.817,AFP,"Kenyan forces continue assaults on al Shabaab positions within the Westgate Mall during the morning hours. Security forces claim they have gained control of all levels of the mall. Six additional deaths reported, including 11 injuries. 200 hostages rescued over the course of the sedge.",6
KEN4071,23-Sep-13,2013,Battles,Armed clash,Military Forces of Kenya (2013-),Police Forces of Kenya (2002-2013),1,Al Shabaab,,Kenya,Nairobi,Westlands,Parklands,Westgate,-1.2571,36.8033,AFP; Star (Kenya),During battles with Al-Shabaab two Kenyan soldiers are killed and 11 are injured. Three of the injured die the next day from their wounds. Three of the Al Shabaab gunmen are killed during the day.,8
KEN4067,22-Sep-13,2013,Battles,Armed clash,Military Forces of Kenya (2013-),Police Forces of Kenya (2002-2013),1,Al Shabaab,,Kenya,Nairobi,Westlands,Parklands,Westgate,-1.2571,36.8033,New York Police Department; Star (Kenya); AFP,Kenyan forces battle with Al-Shabaab. Two soldiers are injured in a grenade attack. One gunmen is shot in the leg and does not reappear.,1
KEN4064,21-Sep-13,2013,Battles,Armed clash,Military Forces of Kenya (2002-2013),Police Forces of Kenya (2002-2013),1,Al Shabaab,,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.283,36.817,AP,"Approximately one hour after the initial attack on the Westgate Mall, Kenyan security forces, including police and military, enter the building and begin engaging al Shabaab in gun battles. Running gun battles continue into the evening.",4
KEN4066,21-Sep-13,2013,Battles,Armed clash,Military Forces of Kenya (2013-),,1,Police Forces of Kenya (2002-2013),,Kenya,Nairobi,Westlands,Parklands,Westgate,-1.2571,36.8033,New York Police Department,Troops and GUS personnel exchange fire in Westgate mall due to mistaken identity. 1 GSU officer dies.,1
KEN4056,16-Sep-13,2013,Battles,Armed clash,Garre Ethnic Militia (Ethiopia),,4,Degodia Ethnic Militia (Kenya),,Kenya,Mandera,Banissa,Banissa,Banissa,3.9439,40.3445,Local Source,Garre and Degodia militia clashed at Meriley water dam in Banissa District in the afternoon of 16/09. The two sides exchanged gunfire briefly. No causalities reported.,0
KEN4043,5-Sep-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Unidentified Armed Group (Kenya),,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,Local Source,"Unidentified men riding in a taxi hurled a hand grenade at a police vehicle passing by the Nairobi Hotel in Manderas main market in the evening of 05/09. The group then directed small arms fire at the police, forcing the police to withdraw quickly, before their damaged vehicle broke down along the road to the police station. Three police officers and a civilian (a cashier at the Nairobi Hotel) were injured in the attack. The attackers managed to escape the scene without suffering any casualties.",0
KEN4031,1-Sep-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Dassanach Ethnic Militia (Ethiopia),,Kenya,Turkana,Turkana North,Lakezone,Loarengak,4.274,35.8994,Daily Nation (Kenya),A group of Ethiopian Dassanach cross the shared border and kill a police reservist along the west bank of the Lake Turkana.,1
KEN4030,31-Aug-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Dassanach Ethnic Militia (Ethiopia),,Kenya,Turkana,Turkana Central,Kalokol,Kataboi,3.531,35.8514,Daily Nation (Kenya),"Dassanach raiders enter Kenya near Lake Turkana, kill a police reservist and injure two others at a post at Loarengak.",1
KEN4028,30-Aug-13,2013,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),,Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Xinhua,"Twenty are dead following fresh clashes between members of Borana and Gabra communities in Moyale. The clashes happened at Funan-nyatta area, about 35 kilometres from Moyale town. The clashes have been occurring sporadically over the course of ten days. The military has threatened to deploy to the area if peace isnt found. Many residents have fled the area.",2
KEN4027,29-Aug-13,2013,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),,Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Xinhua,"Twenty are dead following fresh clashes between members of Borana and Gabra communities in Moyale. The clashes happened at Funan-nyatta area, about 35 kilometres from Moyale town. The clashes have been occurring sporadically over the course of ten days. The military has threatened to deploy to the area if peace isnt found.",2
KEN4026,27-Aug-13,2013,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),,Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Xinhua,"Twenty are dead following fresh clashes between members of Borana and Gabra communities in Moyale. The clashes happened at Funan-nyatta area, about 35 kilometres from Moyale town. The clashes have been occurring sporadically over the course of ten days. The military has threatened to deploy to the area if peace isnt found.",2
KEN4023,26-Aug-13,2013,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),,Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Xinhua,"Twenty are dead following fresh clashes between members of Borana and Gabra communities in Moyale. The clashes happened at Funan-nyatta area, about 35 kilometres from Moyale town. The clashes have been occurring sporadically over the course of ten days. The military has threatened to deploy to the area if peace isnt found.",2
KEN4022,25-Aug-13,2013,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),,Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Xinhua,"Twenty are dead following fresh clashes between members of Borana and Gabra communities in Moyale. The clashes happened at Funan-nyatta area, about 35 kilometres from Moyale town. The clashes have been occurring sporadically over the course of ten days. The military has threatened to deploy to the area if peace isnt found.",2
KEN4020,24-Aug-13,2013,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),,Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Xinhua,"Twenty are dead following fresh clashes between members of Borana and Gabra communities in Moyale. The clashes happened at Funan-nyatta area, about 35 kilometres from Moyale town. The clashes have been occurring sporadically over the course of ten days. The military has threatened to deploy to the area if peace isnt found.",2
KEN4019,23-Aug-13,2013,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),,Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Xinhua,"Twenty are dead following fresh clashes between members of Borana and Gabra communities in Moyale. The clashes happened at Funan-nyatta area, about 35 kilometres from Moyale town. The clashes have been occurring sporadically over the course of ten days. The military has threatened to deploy to the area if peace isnt found.",2
KEN4018,23-Aug-13,2013,Battles,Armed clash,Military Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Mandera,Mandera East,Khalalio,Karo,3.8776,41.6941,Xinhua,Kenyan forces stationed in Madera County chase several al Shabaab fighters into Beled Hawo following cross-border gunfire. Causalities not known.,0
KEN4016,22-Aug-13,2013,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),,Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Xinhua,"Twenty are dead following fresh clashes between members of Borana and Gabra communities in Moyale. The clashes happened at Funan-nyatta area, about 35 kilometres from Moyale town. The clashes have been occurring sporadically over the course of ten days. The military has threatened to deploy to the area if peace isnt found.",2
KEN4014,21-Aug-13,2013,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),,Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Xinhua,"Twenty are dead following fresh clashes between members of Borana and Gabra communities in Moyale. The clashes happened at Funan-nyatta area, about 35 kilometres from Moyale town. The clashes have been occurring sporadically over the course of ten days. The military has threatened to deploy to the area if peace isnt found.",2
KEN4013,20-Aug-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Garissa,Hulugho,Hulugho,Hulugho,-1.15,41.0667,Kenya Broadcasting Corporation,"Twenty Al-Shabab militiamen are killed by the Kenya Defence Forces [KDF] near the border town of Hulugho, Garissa. The militants were crossing the border to Somalia and are believed to be part of a group of nearly 40 militiamen who attacked an Administration Police camp at Galmagala Division last Friday [16 August] evening killing four Administration Police officers.",20
KEN4012,20-Aug-13,2013,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),,Kenya,Marsabit,Moyale,Butiye,Moyale,3.5094,39.0528,Xinhua,"Twenty are dead following fresh clashes between members of Borana and Gabra communities in Moyale. The clashes happened at Funan-nyatta area, about 35 kilometres from Moyale town. The clashes have been occurring sporadically over the course of ten days. Specifically, this days clashes were in the Oda and Hellu area. The military has threatened to deploy to the area if peace isnt found.",2
KEN4009,16-Aug-13,2013,Battles,Armed clash,Police Forces of Kenya (2002-2013),,1,Al Shabaab,,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,Local Source,"About 20-30 al Shabaab fighters attacked Galmagala police post in Fafi District in the evening of 16/08. The attackers used small arms and RPGs during the attack. Four administration police officers were killed and local teacher was injured in the attack. The attackers also set fire to the police post, destroying its complex of buildings. Al Shabaab claimed responsibility for the attack on its Twitter account, claiming to have killed five police officers and seized weapons and communications equipment.",4
KEN4007,15-Aug-13,2013,Battles,Armed clash,Kipsigi Ethnic Militia (Kenya),,4,Kuria Ethnic Militia (Kenya),,Kenya,Migori,Kuria East,Gokeharaka,Kuria East,-1.2437,34.5957,Star (Kenya),An ethnic clash over land caused one death along the Trans Mara West and Kuria East district border.,1
